record_id,sample,raw_symbol,label
100,77,N,N
100,370,N,N
100,662,N,N
100,946,N,N
100,1231,N,N
100,1515,N,N
100,1809,N,N
100,2044,A,S
100,2402,N,N
100,2706,N,N
100,2998,N,N
100,3282,N,N
100,3560,N,N
100,3862,N,N
100,4170,N,N
100,4466,N,N
100,4764,N,N
100,5060,N,N
100,5346,N,N
100,5633,N,N
100,5918,N,N
100,6214,N,N
100,6527,N,N
100,6823,N,N
100,7106,N,N
100,7391,N,N
100,7670,N,N
100,7953,N,N
100,8245,N,N
100,8539,N,N
100,8837,N,N
100,9141,N,N
100,9431,N,N
100,9710,N,N
100,9998,N,N
100,10282,N,N
100,10591,N,N
100,10894,N,N
100,11191,N,N
100,11480,N,N
100,11781,N,N
100,12066,N,N
100,12350,N,N
100,12645,N,N
100,12949,N,N
100,13266,N,N
100,13562,N,N
100,13842,N,N
100,14131,N,N
100,14423,N,N
100,14710,N,N
100,15011,N,N
100,15310,N,N
100,15607,N,N
100,15899,N,N
100,16183,N,N
100,16464,N,N
100,16755,N,N
100,17058,N,N
100,17358,N,N
100,17657,N,N
100,17947,N,N
100,18227,N,N
100,18514,N,N
100,18795,N,N
100,19080,N,N
100,19388,N,N
100,19693,N,N
100,19989,N,N
100,20271,N,N
100,20554,N,N
100,20837,N,N
100,21131,N,N
100,21423,N,N
100,21729,N,N
100,22029,N,N
100,22321,N,N
100,22603,N,N
100,22881,N,N
100,23164,N,N
100,23453,N,N
100,23756,N,N
100,24053,N,N
100,24345,N,N
100,24625,N,N
100,24913,N,N
100,25197,N,N
100,25485,N,N
100,25779,N,N
100,26088,N,N
100,26387,N,N
100,26670,N,N
100,26952,N,N
100,27237,N,N
100,27536,N,N
100,27833,N,N
100,28132,N,N
100,28431,N,N
100,28727,N,N
100,29014,N,N
100,29294,N,N
100,29580,N,N
100,29873,N,N
100,30182,N,N
100,30487,N,N
100,30779,N,N
100,31065,N,N
100,31348,N,N
100,31635,N,N
100,31927,N,N
100,32224,N,N
100,32529,N,N
100,32836,N,N
100,33127,N,N
100,33403,N,N
100,33691,N,N
100,33980,N,N
100,34274,N,N
100,34575,N,N
100,34870,N,N
100,35168,N,N
100,35455,N,N
100,35736,N,N
100,36016,N,N
100,36309,N,N
100,36605,N,N
100,36916,N,N
100,37215,N,N
100,37499,N,N
100,37782,N,N
100,38071,N,N
100,38356,N,N
100,38651,N,N
100,38950,N,N
100,39252,N,N
100,39547,N,N
100,39825,N,N
100,40096,N,N
100,40382,N,N
100,40677,N,N
100,40970,N,N
100,41271,N,N
100,41567,N,N
100,41849,N,N
100,42117,N,N
100,42416,N,N
100,42697,N,N
100,42996,N,N
100,43307,N,N
100,43603,N,N
100,43892,N,N
100,44172,N,N
100,44455,N,N
100,44743,N,N
100,45030,N,N
100,45323,N,N
100,45628,N,N
100,45925,N,N
100,46204,N,N
100,46478,N,N
100,46759,N,N
100,47037,N,N
100,47334,N,N
100,47632,N,N
100,47919,N,N
100,48202,N,N
100,48486,N,N
100,48766,N,N
100,49040,N,N
100,49323,N,N
100,49618,N,N
100,49923,N,N
100,50214,N,N
100,50491,N,N
100,50771,N,N
