record_id,sample,raw_symbol,label,RR_current,RR_prev,RR_ratio,RR_local_mean,R_amplitude,QRS_duration,QRS_energy,ST_mean
100,77,N,N,798.8888888888889,798.8888888888889,1.0,798.8888888888889,0.84,6.0,6.79495,-0.3424691358024692
100,370,N,N,813.8888888888889,798.8888888888889,1.009300723389597,806.3888888888889,0.94,8.0,8.952100000000002,-0.40969135802469137
100,662,N,N,811.1111111111111,813.8888888888889,0.9982905982905983,812.5,0.885,6.0,9.148299999999999,-0.39358024691358023
100,946,N,N,788.8888888888889,811.1111111111111,0.9804372842347527,804.6296296296296,0.81,6.0,9.5219,-0.3648148148148148
100,1231,N,N,791.6666666666666,788.8888888888889,0.9878682842287696,801.3888888888888,0.82,6.0,8.0761,-0.4030246913580247
100,1515,N,N,788.8888888888889,791.6666666666666,0.9921397379912664,795.1388888888889,0.885,6.0,8.397375000000002,-0.4012962962962963
100,1809,N,N,816.6666666666666,788.8888888888889,1.025283347863993,796.5277777777777,0.945,6.0,8.649525,-0.3732716049382716
100,2044,A,S,652.7777777777778,816.6666666666666,0.8561020036429873,762.5,0.845,6.0,8.57275,-0.38888888888888884
100,2402,N,N,994.4444444444445,652.7777777777778,1.2228864218616566,813.1944444444445,0.845,7.0,9.512075,-0.4432716049382716
100,2706,N,N,844.4444444444445,994.4444444444445,1.020990764063812,827.0833333333333,0.89,6.0,9.1932,-0.39604938271604934
100,2998,N,N,811.1111111111111,844.4444444444445,0.9823380992430615,825.6944444444443,0.925,6.0,8.3302,-0.3624691358024692
100,3282,N,N,788.8888888888889,811.1111111111111,0.9176090468497577,859.7222222222222,0.82,6.0,7.397175000000001,-0.33870370370370373
100,3560,N,N,772.2222222222223,788.8888888888889,0.9602763385146806,804.1666666666666,0.835,5.0,7.69425,-0.39475308641975304
100,3862,N,N,838.8888888888889,772.2222222222223,1.0449826989619377,802.7777777777778,0.885,7.0,8.338424999999999,-0.35012345679012347
100,4170,N,N,855.5555555555555,838.8888888888889,1.0511945392491466,813.8888888888889,0.86,6.0,8.643424999999999,-0.3553703703703704
100,4466,N,N,822.2222222222222,855.5555555555555,0.9999999999999999,822.2222222222223,0.795,6.0,8.109874999999999,-0.40919753086419747
100,4764,N,N,827.7777777777777,822.2222222222222,0.9900332225913621,836.1111111111111,0.815,7.0,8.547,-0.4232098765432099
100,5060,N,N,822.2222222222222,827.7777777777777,0.9883138564273789,831.9444444444445,0.89,6.0,8.56555,-0.3671604938271605
